"gene","all15_adjusted_technique_logFC","all15_adjusted_technique_FDR","fresh11_logFC","fresh11_FDR","fresh_no_prior_treatment_logFC","fresh_no_prior_treatment_FDR"
"VAMP3",0.234671542806124,0.66824518927896,0.152809537776369,0.647778243729206,0.202343365895109,0.475799368520998
"PER3",-0.319701684856071,0.816802374023944,-0.27750996244047,0.646833124773783,-0.490847040576796,0.364397940374669
"PARK7",0.114926572002087,0.975727322813314,0.131834442525003,0.680554703992045,0.180211741141288,0.565565168186256
"ERRFI1",-0.335200080155453,0.76063344310174,-0.266153021280751,0.565951168967911,-0.439691190944371,0.257964807679234
"RERE",-0.212885664150443,0.743988537519481,-0.142033696213558,0.680554703992045,-0.230208722118908,0.512732031326607
"ENO1",0.481700643898698,0.620497879203569,0.337143229885756,0.539909812541728,0.399402397581709,0.257964807679234
"SLC2A5",0.494754090212566,0.585154410769659,0.358835870224292,0.539909812541728,0.414895822789881,0.364381114006951
"GPR157",-0.266799770834733,0.878896297442202,-0.135946984129241,0.860805568863765,-0.171172628754387,0.835540631784637
"MIR34AHG",-0.604225065837733,0.735468360345859,-0.437985660658337,0.680554703992045,-0.529755888415447,0.607799540806047
"SPSB1",0.22100683401221,0.915615419264746,0.249253904361472,0.725781874510064,0.0904542269627423,0.877069431682963
"SLC25A33",0.247060341202368,0.831586301123345,0.21482733939534,0.675699955475318,0.157175239102609,0.749292653756677
"PIK3CD",-0.227575575187348,0.838228110296931,-0.145428615374214,0.771102910355608,-0.186831671260549,0.709125894230301
"CLSTN1",0.0914742395261726,0.922573211693604,0.0765643753678536,0.839806827180451,0.0361342951602974,0.943978301924551
"LZIC",0.0542835576984343,0.959248300621966,0.0224757407907276,0.96242869953788,0.0702873895382655,0.843988175644867
"RBP7",0.314686537010232,0.920800560535454,0.149634160216803,0.921322498525649,0.765358586482552,0.426574974407626
"UBE4B",-0.0836504965401293,0.92417531528931,-0.0519148814557233,0.894437808342616,-0.0408475643802561,0.932543727288546
"KIF1B",0.136788187991174,0.935582707073966,0.172508206786729,0.65750952685365,0.123712910995933,0.778880488152119
"PGD",0.0971072570343254,0.847763278066247,0.0651284161410088,0.794635704147709,0.0586834031364625,0.858556683513597
"DFFA",0.0863497027659965,0.934723286792728,0.0785742853715783,0.831585683331886,0.146303166176954,0.674363867120955
"TARDBP",-0.12771559763444,0.845995942306838,-0.107813511865084,0.727359314461205,-0.167879315040603,0.628797604096334
"SRM",0.442592747255462,0.674893276948019,0.300344851296795,0.567636892317067,0.444733961732901,0.365925551768162
"EXOSC10",-0.06543616006911,0.945421051661546,-0.0391698591484526,0.925472853619315,-0.0372137033518201,0.93979183250301
"ANGPTL7",-0.227153595150511,0.976089777202807,-0.161949756801382,0.951722449221458,-0.363586634594435,0.857417679329704
"MAD2L2",0.170557142894835,0.945421051661546,0.124219861104047,0.682769929955018,0.118120691658543,0.724245636049355
"AGTRAP",-0.0186946399055573,0.987676987381042,-0.00821125881644325,0.987852510451791,0.0383402093219999,0.957032935111442
"MTHFR",-0.0503728823916711,0.977642744156684,-0.0493345214367969,0.932320009271582,-0.130210225706353,0.780470121393822
"AL021155.5",-0.679925343234551,0.615910607717767,-0.431624272949121,0.565951168967911,-0.674312773430601,0.257964807679234
"KIAA2013",0.296457492085772,0.620497879203569,0.181569459037079,0.567754820711177,0.165017399593811,0.633281215414405
"PLOD1",0.197020140786079,0.843597380972485,0.107030315911256,0.777536336922682,0.0711456617900108,0.879642667300819
"TNFRSF1B",0.0297162656691118,0.987676987381042,0.0563529411904809,0.891507633403955,0.0540353431524373,0.91093329104767
