"logFC","logCPM","F","PValue","FDR","gene","defining_C3_gene","FDR_nondefining"
1.40722840955719,7.94921018583368,902.34883465085,1.75313189928783e-18,1.5769421434094e-14,"CFD",TRUE,
1.21393157989651,7.44669115108659,419.111778259382,3.66015639860247e-15,1.64615534027146e-11,"HMOX1",TRUE,
0.772757916774795,6.66264429989605,294.475682337904,1.14139142515037e-13,3.0283222600631e-10,"CD300A",TRUE,
1.34806352996898,4.92237150115476,289.469422097675,1.34666915400249e-13,3.0283222600631e-10,"ABCC3",TRUE,
1.09117866863027,7.71052221005997,285.418578740369,3.10975625209937e-13,4.99156531357503e-10,"LILRB4",TRUE,
-1.12914196706894,7.49026343741438,285.456417783478,4.33721273869947e-13,4.99156531357503e-10,"STK17B",FALSE,1.18999853837197e-09
-4.4409249035185,2.4036680458048,278.807224331026,4.40422598079103e-13,4.99156531357503e-10,"CLNK",FALSE,1.18999853837197e-09
-4.00930237612706,2.42377147772844,271.173372232126,4.43941328611454e-13,4.99156531357503e-10,"CD1C",FALSE,1.18999853837197e-09
0.807891551702472,13.5583889897526,250.832715471925,5.32378274632355e-13,5.32082508924226e-10,"FTL",FALSE,1.18999853837197e-09
1.19742304791584,8.52688143311278,277.951652018447,6.14379156256594e-13,5.52634051052807e-10,"FCGR3A",TRUE,
0.876422316017662,5.80656351744187,217.836188573614,2.03196762706159e-12,1.66159534594718e-09,"ABCG1",TRUE,
0.845476376309806,8.31848597310758,213.752681301243,2.42923308490785e-12,1.82091263322884e-09,"CD68",FALSE,4.34395460243222e-09
-1.92685482669712,3.72952674519706,204.585957022277,4.17344200536762e-12,2.88770083371398e-09,"SLC41A2",FALSE,6.21912416166532e-09
-1.91691262484129,3.30351703358378,197.229064339301,5.17355380538336e-12,3.32400831995881e-09,"IRF4",FALSE,6.60810636770466e-09
-4.01748055892021,2.60729280528588,219.840748341742,7.50453284713975e-12,4.5002181973348e-09,"CD1E",FALSE,7.71034980347488e-09
0.806809816418677,4.48112744387054,187.328189432402,8.37015964115641e-12,4.56289245723643e-09,"SLC35F6",FALSE,7.71034980347488e-09
-0.480438226073175,8.72186136444091,186.729458923957,8.62358774574978e-12,4.56289245723643e-09,"OGFRL1",FALSE,7.71034980347488e-09
-4.06060408381022,1.57693677935047,189.655427574573,1.33200765450325e-11,6.65633825125374e-09,"DNASE1L3",FALSE,1.08268003990123e-08
-2.81833912659167,3.60786873250354,208.094384221141,1.91452182345446e-11,8.6166153645434e-09,"IL18R1",FALSE,1.37810610042065e-08
-1.64234516092694,4.35403946397635,173.560676862489,2.00373328547908e-11,8.6166153645434e-09,"CCSER1",FALSE,1.37810610042065e-08
1.38735049379739,7.28365392389394,227.563535322313,2.01166117460157e-11,8.6166153645434e-09,"FCGR1A",TRUE,
0.640053712257768,7.00708246979508,164.041761807768,2.86075533726552e-11,1.1411636953166e-08,"SERPINF1",FALSE,1.7392797909653e-08
-3.2735199114653,3.41986760145141,208.487124064585,2.91792829263834e-11,1.1411636953166e-08,"P2RY14",FALSE,1.7392797909653e-08
-0.81010679052513,4.99666287017993,161.604544411004,3.28257970363634e-11,1.20224564468741e-08,"SPN",FALSE,1.75739435456792e-08
-0.659601395720388,7.45162934131764,161.292064030303,3.34142758390052e-11,1.20224564468741e-08,"CHPT1",FALSE,1.75739435456792e-08
0.849039395968371,5.75175872445223,161.062961206615,3.85841908854378e-11,1.33486460390197e-08,"GAS6",FALSE,1.91656250392611e-08
0.544738172105314,9.13875311305332,156.92879214808,4.29635478192138e-11,1.43132263938455e-08,"FCGRT",FALSE,2.02177411079785e-08
0.467367561278642,9.82110524917463,155.598586858836,4.64428881386713e-11,1.43406970156088e-08,"FCER1G",FALSE,2.03637214351716e-08
2.43875762657047,5.01727089663506,221.643853453282,4.74629230907888e-11,1.43406970156088e-08,"FOLR2",TRUE,
-2.96863932040413,0.757930310521493,155.098873865809,4.78288949936925e-11,1.43406970156088e-08,"PPP1R16B",FALSE,2.03637214351716e-08
0.754799385252362,10.086262981785,153.036142608283,5.4050193265414e-11,1.56832738200774e-08,"PSAP",FALSE,2.19664899084576e-08
