"pathway","source","target","sum_probability"
"MIF","nmSC","C3low_Myeloid",0.238813275385569
"MK","nmSC","C3low_Myeloid",0.0626344739826359
"MPZ","nmSC","C3low_Myeloid",0.00436867888530195
"NECTIN","nmSC","C3low_Myeloid",0.000132121580232486
"Netrin","nmSC","C3low_Myeloid",4.94830946821811e-07
"NRXN","nmSC","C3low_Myeloid",0.00379384442328921
"PROS","nmSC","C3low_Myeloid",0.0195204609001416
"PTN","nmSC","C3low_Myeloid",0.0252750791562536
"SEMA3","nmSC","C3low_Myeloid",0.00130768834025876
"SEMA4","nmSC","C3low_Myeloid",7.5446944897559e-06
"SEMA7","nmSC","C3low_Myeloid",0.000382813383099041
"SPP1","nmSC","C3low_Myeloid",0.0670607307936389
"THBS","nmSC","C3low_Myeloid",0.0157516718865648
"THY1","nmSC","C3low_Myeloid",0.0029559808197317
"UNC5","nmSC","C3low_Myeloid",2.32071065060713e-06
"VEGF","nmSC","C3low_Myeloid",0.00180125608274042
"APP","C3high_Myeloid","myeSC",0.00104526269496742
"CCL","C3high_Myeloid","myeSC",0.000426864985895965
"CD45","C3high_Myeloid","myeSC",0.000219440570486562
"CD99","C3high_Myeloid","myeSC",0.0182790288608009
"CXCL","C3high_Myeloid","myeSC",0.00131723366832595
"CypA","C3high_Myeloid","myeSC",0.0662083458318287
"EGF","C3high_Myeloid","myeSC",0.0169921650668281
"FN1","C3high_Myeloid","myeSC",0.0205900476085837
"GALECTIN","C3high_Myeloid","myeSC",0.0182247798073058
"GAS","C3high_Myeloid","myeSC",0.000581351011728392
"Glutamate","C3high_Myeloid","myeSC",0.0237699230360017
"GRN","C3high_Myeloid","myeSC",0.0798925240467869
"HGF","C3high_Myeloid","myeSC",0.000934328078073527
"IGF","C3high_Myeloid","myeSC",0.00508602652994558
"JAM","C3high_Myeloid","myeSC",0.000574251310539502
"ncWNT","C3high_Myeloid","myeSC",0.00226670483277284
"OSM","C3high_Myeloid","myeSC",0.0049125228723958
"PDGF","C3high_Myeloid","myeSC",0.0044137244197571
"PECAM2","C3high_Myeloid","myeSC",5.54255812699465e-05
"PSAP","C3high_Myeloid","myeSC",0.0620188816988871
"RA","C3high_Myeloid","myeSC",0.000348263268234495
"SEMA4","C3high_Myeloid","myeSC",0.00201701289370912
"SPP1","C3high_Myeloid","myeSC",0.0741800619823083
"THBS","C3high_Myeloid","myeSC",9.51674534897197e-05
"TNF","C3high_Myeloid","myeSC",0.00920095518765259
"TWEAK","C3high_Myeloid","myeSC",0.00901318766900536
"VISTA","C3high_Myeloid","myeSC",0.00565115323591753
"APP","C3low_Myeloid","myeSC",0.00147409224969676
"CCL","C3low_Myeloid","myeSC",0.00019480761688587
"CD45","C3low_Myeloid","myeSC",0.000245362028247974
"CXCL","C3low_Myeloid","myeSC",0.00113226254739058
"CypA","C3low_Myeloid","myeSC",0.0669014926848308
"EGF","C3low_Myeloid","myeSC",0.020100229533607
"FN1","C3low_Myeloid","myeSC",0.0204343357981336
"GALECTIN","C3low_Myeloid","myeSC",0.0124242484479494
"GAS","C3low_Myeloid","myeSC",0.000130161517083209
"Glutamate","C3low_Myeloid","myeSC",0.0186826351766499
"GRN","C3low_Myeloid","myeSC",0.0638560015059558
"HGF","C3low_Myeloid","myeSC",1.16019256662139e-06
"ncWNT","C3low_Myeloid","myeSC",0.00156589012662348
"NOTCH","C3low_Myeloid","myeSC",2.23497760459941e-06
"OSM","C3low_Myeloid","myeSC",0.00447208540275941
"PDGF","C3low_Myeloid","myeSC",0.00352473620333019
"PECAM2","C3low_Myeloid","myeSC",4.25307433271712e-05
"PSAP","C3low_Myeloid","myeSC",0.0461157844970877
"RA","C3low_Myeloid","myeSC",3.71536763171405e-05
"SEMA4","C3low_Myeloid","myeSC",0.0020448494272252
"SPP1","C3low_Myeloid","myeSC",0.0092526226547902
"THBS","C3low_Myeloid","myeSC",0.00996034324061825
"TWEAK","C3low_Myeloid","myeSC",0.00609393361734567
"VISTA","C3low_Myeloid","myeSC",0.00369902992629332
"2-AG","C3high_Myeloid","nmSC",7.72631965380487e-05
"CADM","C3high_Myeloid","nmSC",0.0108654591539414
"CD99","C3high_Myeloid","nmSC",0.0274624318555165
"CXCL","C3high_Myeloid","nmSC",0.000299829614433966
"CypA","C3high_Myeloid","nmSC",0.064101003995975
"FN1","C3high_Myeloid","nmSC",0.0341394704831824
"GALECTIN","C3high_Myeloid","nmSC",0.0443133158302264
"GAS","C3high_Myeloid","nmSC",0.000827093161223205
"Glutamate","C3high_Myeloid","nmSC",0.00634030046515619
"GRN","C3high_Myeloid","nmSC",0.0305039033474285
"HGF","C3high_Myeloid","nmSC",0.00111012354577153
"IGF","C3high_Myeloid","nmSC",0.0031623073554852
"JAM","C3high_Myeloid","nmSC",0.000409538141648599
"MIF","C3high_Myeloid","nmSC",0.00775619132178385
"ncWNT","C3high_Myeloid","nmSC",0.00189946981093723
"OSM","C3high_Myeloid","nmSC",0.00928429465174218
"PDGF","C3high_Myeloid","nmSC",0.00163222445753075
"PSAP","C3high_Myeloid","nmSC",0.0135321111882808
"RA","C3high_Myeloid","nmSC",2.30258869710151e-05
"SEMA4","C3high_Myeloid","nmSC",0.00180283002905714
"SPP1","C3high_Myeloid","nmSC",0.104685540313719
"THBS","C3high_Myeloid","nmSC",3.54296172575982e-05
"TNF","C3high_Myeloid","nmSC",0.0148452069410744
"TWEAK","C3high_Myeloid","nmSC",0.0126513884692886
"VISTA","C3high_Myeloid","nmSC",0.00227620380186427
"2-AG","C3low_Myeloid","nmSC",6.25633951116223e-05
"CADM","C3low_Myeloid","nmSC",0.00521493863948638
"CD99","C3low_Myeloid","nmSC",0.026019699075125
"CypA","C3low_Myeloid","nmSC",0.0647736190828372
"FN1","C3low_Myeloid","nmSC",0.0338814821952717
"GALECTIN","C3low_Myeloid","nmSC",0.0302503805939684
"GAS","C3low_Myeloid","nmSC",0.000185217272540721
"Glutamate","C3low_Myeloid","nmSC",0.00496631702476899
"GRN","C3low_Myeloid","nmSC",0.0241210810698751
"HGF","C3low_Myeloid","nmSC",1.37872713364995e-06
"MIF","C3low_Myeloid","nmSC",0.00763661948842494
"ncWNT","C3low_Myeloid","nmSC",0.00131204669413733
"NOTCH","C3low_Myeloid","nmSC",2.76630601975812e-06
"OSM","C3low_Myeloid","nmSC",0.00845173073004919
"PDGF","C3low_Myeloid","nmSC",0.00130194556884782
"PSAP","C3low_Myeloid","nmSC",0.00993052885815666
"RA","C3low_Myeloid","nmSC",2.45575074675158e-06
"SEMA4","C3low_Myeloid","nmSC",0.00182776561383869
"THBS","C3low_Myeloid","nmSC",0.00491046816084454
"TNF","C3low_Myeloid","nmSC",0.00911417455277287
"TWEAK","C3low_Myeloid","nmSC",0.00856395183296957
"VISTA","C3low_Myeloid","nmSC",0.00148817159287241
