"NGenes","Correlation","Direction","PValue","FDR","GO_ID","description"
310,0.0646912039323381,"Down",0.667045013832859,0.999769115486285,"GO:0000226","microtubule cytoskeleton organization"
28,0.00675809375855342,"Up",0.667259269727424,0.999769115486285,"GO:0009064","glutamine family amino acid metabolic process"
62,0.0767226814298607,"Up",0.667758369217834,0.999769115486285,"GO:0003279","cardiac septum development"
158,0.025508603243558,"Up",0.667973454015394,0.999769115486285,"GO:0062012","regulation of small molecule metabolic process"
26,0.0623560482483265,"Down",0.668235581245412,0.999769115486285,"GO:1901568","fatty acid derivative metabolic process"
60,0.0338937895521713,"Down",0.668282819221371,0.999769115486285,"GO:0071774","response to fibroblast growth factor"
25,0.0265137371308503,"Down",0.668368878140503,0.999769115486285,"GO:0051294","establishment of spindle orientation"
35,0.097558073319806,"Down",0.668479601174821,0.999769115486285,"GO:0072698","protein localization to microtubule cytoskeleton"
56,0.0331859995216754,"Down",0.668585949618401,0.999769115486285,"GO:0014020","primary neural tube formation"
21,0.0530479572634526,"Up",0.668960027972326,0.999769115486285,"GO:0007431","salivary gland development"
21,0.0530479572634526,"Up",0.668960027972326,0.999769115486285,"GO:0007435","salivary gland morphogenesis"
44,0.0170504937846145,"Down",0.669805150619456,0.999769115486285,"GO:0051153","regulation of striated muscle cell differentiation"
22,0.0582309700324713,"Down",0.670166307680588,0.999769115486285,"GO:0010677","negative regulation of cellular carbohydrate metabolic process"
74,0.0359290579688767,"Down",0.670249543290883,0.999769115486285,"GO:0014074","response to purine-containing compound"
69,0.0219872680305817,"Up",0.670431226680642,0.999769115486285,"GO:0003206","cardiac chamber morphogenesis"
56,0.0352913773947694,"Up",0.670695840600238,0.999769115486285,"GO:0002444","myeloid leukocyte mediated immunity"
245,0.0359480249560972,"Down",0.670825163965738,0.999769115486285,"GO:0007159","leukocyte cell-cell adhesion"
191,0.0324118715132906,"Down",0.671619799861439,0.999769115486285,"GO:0030198","extracellular matrix organization"
191,0.0324118715132906,"Down",0.671619799861439,0.999769115486285,"GO:0045229","external encapsulating structure organization"
316,0.047056372596544,"Down",0.67165408806262,0.999769115486285,"GO:0071407","cellular response to organic cyclic compound"
100,0.0437807064822843,"Down",0.67196491916853,0.999769115486285,"GO:0099003","vesicle-mediated transport in synapse"
36,0.0343573811507428,"Down",0.672312679267274,0.999769115486285,"GO:0031641","regulation of myelination"
22,0.0669190820037323,"Up",0.67277848775182,0.999769115486285,"GO:0003203","endocardial cushion morphogenesis"
44,0.0364999228311097,"Down",0.672863490794954,0.999769115486285,"GO:0001736","establishment of planar polarity"
44,0.0364999228311097,"Down",0.672863490794954,0.999769115486285,"GO:0007164","establishment of tissue polarity"
84,0.118438138304547,"Down",0.672876820164285,0.999769115486285,"GO:0006413","translational initiation"
90,0.0630430517486291,"Down",0.673024348561194,0.999769115486285,"GO:0098876","vesicle-mediated transport to the plasma membrane"
16,0.0177819286046188,"Down",0.673060809250553,0.999769115486285,"GO:0008045","motor neuron axon guidance"
18,-0.00636856986788916,"Up",0.673404070622578,0.999769115486285,"GO:0032366","intracellular sterol transport"
