"SampleID","top_label","delta","ambiguous","assignment","Dataset"
"GSM4213422","C2_Mesenchymal",0.668902524814016,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213423","C2_Mesenchymal",0.190773404520678,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213424","C2_Mesenchymal",1.03482125302942,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213425","C3_Immune",0.0863108217477726,TRUE,"Ambiguous","GSE141801"
"GSM4213426","C1_Proliferative",0.238842616696343,FALSE,"C1_Proliferative","GSE141801"
"GSM4213427","C2_Mesenchymal",1.83313843988918,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213428","C2_Mesenchymal",0.136035075143957,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213429","C3_Immune",0.0907625595607031,TRUE,"Ambiguous","GSE141801"
"GSM4213430","C3_Immune",1.14681227982144,FALSE,"C3_Immune","GSE141801"
"GSM4213431","C1_Proliferative",0.0195533531533068,TRUE,"Ambiguous","GSE141801"
"GSM4213432","C1_Proliferative",0.0562991635283091,TRUE,"Ambiguous","GSE141801"
"GSM4213433","C2_Mesenchymal",1.03102057515325,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213434","C2_Mesenchymal",0.823703112615222,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213435","C2_Mesenchymal",1.06084241571471,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213436","C2_Mesenchymal",0.964152507374765,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213437","C3_Immune",0.994576445519285,FALSE,"C3_Immune","GSE141801"
"GSM4213438","C2_Mesenchymal",0.919504071949334,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213439","C3_Immune",0.00138416595753563,TRUE,"Ambiguous","GSE141801"
"GSM4213440","C2_Mesenchymal",0.76067081558128,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213441","C1_Proliferative",0.130932835329326,FALSE,"C1_Proliferative","GSE141801"
"GSM4213442","C2_Mesenchymal",0.732761498832566,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213443","C3_Immune",0.461552949353764,FALSE,"C3_Immune","GSE141801"
"GSM4213444","C2_Mesenchymal",1.58823173856324,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213445","C2_Mesenchymal",0.644389952256834,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213446","C2_Mesenchymal",0.325573114527603,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213447","C1_Proliferative",0.0328398041807013,TRUE,"Ambiguous","GSE141801"
"GSM4213448","C3_Immune",0.516100950530988,FALSE,"C3_Immune","GSE141801"
"GSM4213449","C3_Immune",0.224778341593867,FALSE,"C3_Immune","GSE141801"
"GSM4213450","C2_Mesenchymal",0.694485402612371,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213451","C2_Mesenchymal",0.660697092182503,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213452","C3_Immune",0.729617038555095,FALSE,"C3_Immune","GSE141801"
"GSM4213453","C2_Mesenchymal",1.05085022622434,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213454","C3_Immune",0.646243072532535,FALSE,"C3_Immune","GSE141801"
"GSM4213455","C2_Mesenchymal",0.866984629660575,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213456","C2_Mesenchymal",0.426063104518382,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213457","C2_Mesenchymal",0.637501535447502,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213467","C1_Proliferative",0.215595614211877,FALSE,"C1_Proliferative","GSE141801"
"GSM4213468","C2_Mesenchymal",0.702686114333526,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213469","C1_Proliferative",0.23414360065627,FALSE,"C1_Proliferative","GSE141801"
"GSM4213470","C1_Proliferative",0.107614010145107,FALSE,"C1_Proliferative","GSE141801"
"GSM4213471","C1_Proliferative",0.145084825187901,FALSE,"C1_Proliferative","GSE141801"
"GSM4213472","C1_Proliferative",0.00413423072616265,TRUE,"Ambiguous","GSE141801"
"GSM4213473","C2_Mesenchymal",0.675571558627608,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213474","C2_Mesenchymal",0.798312765838113,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213475","C1_Proliferative",0.586431957685612,FALSE,"C1_Proliferative","GSE141801"
"GSM4213476","C1_Proliferative",0.776180165688502,FALSE,"C1_Proliferative","GSE141801"
"GSM4213477","C3_Immune",1.23301941684467,FALSE,"C3_Immune","GSE141801"
"GSM4213478","C2_Mesenchymal",0.263430772690063,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213479","C1_Proliferative",0.226003078943751,FALSE,"C1_Proliferative","GSE141801"
"GSM4213480","C3_Immune",0.12452430944138,FALSE,"C3_Immune","GSE141801"
"GSM4213481","C2_Mesenchymal",0.741427032109966,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213482","C2_Mesenchymal",1.01410677701294,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213483","C2_Mesenchymal",0.210251876381437,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213484","C2_Mesenchymal",0.794415317486133,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213486","C2_Mesenchymal",0.690537686905898,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213487","C2_Mesenchymal",0.804804212007542,FALSE,"C2_Mesenchymal","GSE141801"
"GSM4213488","C2_Mesenchymal",0.687476251485916,FALSE,"C2_Mesenchymal","GSE141801"
