"logFC","logCPM","F","PValue","FDR","gene","defining_C3_gene","FDR_nondefining"
-4.01707972546202,2.36180940964869,552.530643729163,2.82537190674897e-12,1.60964399409261e-08,"CD1C",FALSE,2.22582798813684e-08
1.39540258751193,7.87167941150429,522.727259870773,4.06065588822556e-12,1.60964399409261e-08,"CFD",TRUE,
2.79116777212056,5.11306356300354,450.384524652911,6.01092369409784e-11,1.58848676822692e-07,"FOLR2",TRUE,
-1.13886165587601,8.46873946810053,324.721363249972,8.94259723931694e-11,1.77242277283262e-07,"EZR",FALSE,2.71295661282186e-07
2.06692698267564,4.50568894033116,309.571220695953,1.21643784378475e-10,1.9287838451051e-07,"C2",FALSE,2.71295661282186e-07
1.02219913034427,5.53918893423906,297.982307481254,1.55460578048073e-10,2.05415243794187e-07,"GAS6",FALSE,2.71295661282186e-07
0.914250005714483,8.43081478418374,281.618429896897,2.23367910212075e-10,2.18414013977676e-07,"CD68",FALSE,2.71295661282186e-07
1.38522462765905,5.27601282123025,280.289395581492,2.30243148830586e-10,2.18414013977676e-07,"FUCA1",FALSE,2.71295661282186e-07
-3.57476881003506,3.06773665366805,300.713014057358,2.61929168507057e-10,2.18414013977676e-07,"SLC38A1",FALSE,2.71295661282186e-07
-4.08588382101387,1.47491389680175,272.544834497315,2.75496990385566e-10,2.18414013977676e-07,"TACSTD2",FALSE,2.71295661282186e-07
1.62630074016204,9.32465945270717,352.609309847705,3.46296500082114e-10,2.49585332059182e-07,"CTSD",FALSE,3.03124869738544e-07
1.15474612125434,6.23052409653107,249.919817585141,4.79222350375265e-10,3.09646884893741e-07,"PLD3",FALSE,3.63638382596867e-07
-0.787714041652977,9.29185619148812,247.663017867814,5.07745901061886e-10,3.09646884893741e-07,"CREM",FALSE,3.63638382596867e-07
-3.90130043261394,5.03860458418561,489.085437780313,6.4005246260513e-10,3.62452565966676e-07,"AKR1C3",FALSE,4.20194441700268e-07
-1.67144716137229,5.76069840641146,299.524092948441,8.83043506091952e-10,4.66717927753133e-07,"RUNX3",FALSE,5.35124364691723e-07
