"NGenes","Correlation","Direction","PValue","FDR","GO_ID","description"
287,0.0085517390502384,"Up",0.00209430764151856,0.822760809427292,"GO:0006091","generation of precursor metabolites and energy"
445,0.00067587373356943,"Up",0.00238318406708876,0.822760809427292,"GO:0061024","membrane organization"
202,0.00904754368741473,"Up",0.00264032169114562,0.822760809427292,"GO:0015980","energy derivation by oxidation of organic compounds"
67,-0.00499427650154219,"Up",0.0050264498548393,0.822760809427292,"GO:0007006","mitochondrial membrane organization"
123,-0.00100918243864386,"Down",0.00677135821915514,0.822760809427292,"GO:0021537","telencephalon development"
251,0.00808611920354982,"Up",0.00742344999244648,0.822760809427292,"GO:0009259","ribonucleotide metabolic process"
340,0.00842409422518798,"Up",0.00743805406610323,0.822760809427292,"GO:0055086","nucleobase-containing small molecule metabolic process"
251,0.00860734469581178,"Up",0.00745189849818793,0.822760809427292,"GO:0006163","purine nucleotide metabolic process"
256,0.00910774105092338,"Up",0.00750266780380853,0.822760809427292,"GO:0019693","ribose phosphate metabolic process"
142,0.0094152310156212,"Up",0.00782803657725654,0.822760809427292,"GO:0090150","establishment of protein localization to membrane"
166,0.0038205613109408,"Down",0.00844243814053992,0.822760809427292,"GO:0007389","pattern specification process"
165,0.0164754303528693,"Up",0.00850164912286319,0.822760809427292,"GO:0009141","nucleoside triphosphate metabolic process"
20,-0.0327536740053038,"Up",0.00850890803801182,0.822760809427292,"GO:0048199","vesicle targeting, to, from or within Golgi"
262,0.00830529624043128,"Up",0.00862533156866111,0.822760809427292,"GO:0072521","purine-containing compound metabolic process"
243,0.00918828172052804,"Up",0.00877044738530996,0.822760809427292,"GO:0009150","purine ribonucleotide metabolic process"
156,0.030991186506073,"Up",0.00929091807617067,0.822760809427292,"GO:0045333","cellular respiration"
307,0.0121803185779557,"Up",0.00948541145913341,0.822760809427292,"GO:0009117","nucleotide metabolic process"
104,0.00281099382738106,"Up",0.00965163534540697,0.822760809427292,"GO:0006839","mitochondrial transport"
154,0.0195648842355551,"Up",0.00984732336849245,0.822760809427292,"GO:0009199","ribonucleoside triphosphate metabolic process"
44,0.0205534218102622,"Up",0.0103083412876373,0.822760809427292,"GO:1990542","mitochondrial transmembrane transport"
