"signature","matched_genes","mean","sd","universe_n"
"C1_Proliferative",67,0.48079554278746,0.115710765356813,13243
"C2_Mesenchymal",95,0.378661564370075,0.157264508710197,13243
"C3_Immune",47,0.509562680497436,0.16779388639467,13243
