"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","description"
"GO:0071346",0.103044496487119,0.339511351504543,0.213927855492356,0.286464264975187,1.25257861596042,81,"CCL19;RAB20;NR1H3;GAPDH;NR1H2;PPARG;LGALS9;KIF5B;VAMP3;CDC42EP2;DAPK3;CDC37;GBP4;STX8;PTPN2;GSN;ACTG1;JAK1;MYO1C;SIRPA;GBP5;GBP1;NMI;TLR2;IFNGR2;CCL17;CCL20","cellular response to interferon-gamma"
"GO:0071347",0.073394495412844,0.285999257747263,0.224966093540314,-0.337631390610714,-1.32867084528116,62,"CCL7;CCL8;EGR1;EDN1;RC3H1;HES1;IL1RN;CCL2;IRAK2;CD40;RBMX;IKBKB;CXCL8;CCL3;RPS6KA5;SFRP1;CCL4;TANK","cellular response to interleukin-1"
"GO:0071353",0.0230287766748318,0.146363307423029,0.352487857583619,0.519785185786367,1.61229808247325,19,"RPL3;RPLP0;HSPA5;TUBA1B;IMPDH2;PTPN2;CORO1A;CDK4;XBP1","cellular response to interleukin-4"
"GO:0071354",0.666044776119403,0.883321262123693,0.0613026075396207,-0.277605855277823,-0.859298173849648,21,"ST3GAL6;PID1;FER;YAP1;JAK2;IL6;CTR9;IL6R","cellular response to interleukin-6"
"GO:0071356",0.103789126853377,0.341142915698866,0.176694268938498,-0.272229082875021,-1.23827298951927,135,"NAIP;CCL7;CCL8;DCSTAMP;EDN1;EXT1;CLDN1;ZFP36L1;HES1;PRKN;PID1;CCL2;BIRC7;HSPA1B;FOS;CD40;HIPK1;IKBKB;CRHBP;COL1A1;CARD8;ZFP36;TNF;CXCL8;CASP8;CCL3;HSPA1A;SFRP1;TNFAIP3;FOXP1;CCL4;ERBIN;TANK","cellular response to tumor necrosis factor"
"GO:0071357",0.00675204406745947,0.0750024354520498,0.407017918923954,0.446655386131661,1.64919039824771,38,"IFNAR2;IRAK1;IRF7;CDC37;PTPN2;PTPN6;JAK1;IFIT1;YTHDF2;STAT2;USP18;NLRC5;ISG15;PTPN1;OAS1","cellular response to type I interferon"
"GO:0071359",0.387225548902196,0.678945707070707,0.0931454575337804,0.358223004682579,1.04247802023698,15,"NPM1;FLOT1;CGAS;IFIT1;PQBP1;TLR3","cellular response to dsRNA"
"GO:0071363",0.00537891128190431,0.0645993273758573,0.407017918923954,-0.262597511088008,-1.34783058693993,396,"ERRFI1;NTRK3;CRIM1;DCSTAMP;EGR3;EGR1;CITED2;EDN1;EXT1;VASN;PEG10;CLDN1;TNFAIP6;MEF2C;GDF15;ZFP36L1;HES1;NR4A1;GPC3;PDGFB;TLR4;SOX6;MSX1;HIVEP1;TOB1;CCL2;CDKN2B;BAIAP2;FOS;PIK3CB;FZD1;SPRY4;BMP6;MT3;PDE3A;ID1;FSTL1;TGFB2;FLT1;FGF7;IGF1R;SCX;ACVR2A;SFRP5;SPRY2;SULF1;COL1A1;SORL1;DCN;CFLAR;KLF4;APAF1;ERBB2;OGT;COL3A1;DLL4;ZFP36;CXCL8;SPRED2;SKI;HSPA1A;SFRP1;SMAD6;NTRK2;NRP2;CTDSPL2;NLK;BMPR1A;STAT5B;ZEB2;TGFBR1;JUN;PRDM16;CD109;LPXN;SLIT2;COL1A2;FMOD;CD44;RAF1;EP300;LTBP1;SMAD2;XIAP;CHRDL1;EPB41L5;HGF;USP9Y;ATF2;BMP8B;TET1;SPRED1;NR3C1;ERN1;GCNT2;ARNT;NREP;ING1;PIK3CD;LATS1;MAPK14;ITGA5;TGFBR2;ITGB8;APP;CADM4;PTK2;APPL2;TBX2;GAB1;PGF;SMAD5;TMEM204;CREBBP;CCN1;ZNF703;NOTCH1;NPTN;PIK3CA;FLRT3;FUT8;SHOC2;ADAM9;SMURF1;DAB2IP;BMP2;CAV2;ACAP2;ATP2B4;SEMA6A;GAS1;DUSP3;SIRT1;RBPJ;CTSK;ZMIZ1;SHCBP1;FBN1;HIF1A;ZDHHC17;FRS2;FLT3;TGFBR3;MCM7;CYFIP2;FGF1","cellular response to growth factor stimulus"
"GO:0071364",0.0183221415346702,0.131402716424126,0.352487857583619,-0.491944231648607,-1.6408304628762,28,"ERRFI1;ZFP36L1;BAIAP2;FOS;ID1;COL1A1;CFLAR;ERBB2;ZFP36;STAT5B","cellular response to epidermal growth factor stimulus"
"GO:0071375",0.115843270868825,0.3600876125578,0.169570644405628,-0.258660102915857,-1.20602098641113,165,"SOCS1;PIK3R3;ERRFI1;EDN1;SLC9A1;SOGA1;ENPP1;GDF15;ZFP36L1;KAT2B;NR4A1;PID1;GPR173;BAIAP2;FOS;PTPRE;NCOA2;RARRES2;SORBS1;C2CD5;IGF1R;CRHBP;MBD5;CPEB2;SORL1;IGF2;SLC39A14;CFLAR;OGT","cellular response to peptide hormone stimulus"
