"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblast","myeSC","TGFB2","TGFbR1_R2",3.68817568005726e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"PC_VSMC","myeSC","TGFB2","TGFbR1_R2",5.89896031241237e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","nmSC","TGFB2","TGFbR1_R2",0.000108387420739658,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"PC_VSMC","nmSC","TGFB2","TGFbR1_R2",0.00017335911323209,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"Fibroblast","PC_VSMC","TGFB2","TGFbR1_R2",3.36871162553029e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"PC_VSMC","PC_VSMC","TGFB2","TGFbR1_R2",5.38801783682946e-05,0,"TGFB2_TGFBR1_TGFBR2","TGFB2 - (TGFBR1+TGFBR2)","TGFb","Secreted Signaling","KEGG: hsa04350"
"BC","Endothelial","TGFB1","ACVR1_TGFbR",0.00653034743526425,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3high_Myeloid","Endothelial","TGFB1","ACVR1_TGFbR",0.00543882951544377,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"C3low_Myeloid","Endothelial","TGFB1","ACVR1_TGFbR",0.00451628464321231,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Cycling","Endothelial","TGFB1","ACVR1_TGFbR",0.00522016053788903,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Endothelial","Endothelial","TGFB1","ACVR1_TGFbR",0.0042493974108788,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Fibroblast","Endothelial","TGFB1","ACVR1_TGFbR",0.000519752761728888,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
"Mast","Endothelial","TGFB1","ACVR1_TGFbR",0.0045651270073504,0,"TGFB1_ACVR1_TGFBR1","TGFB1 - (ACVR1+TGFBR1)","TGFb","Secreted Signaling","PMID: 29376829"
