"SampleID","C1_Proliferative","C2_Mesenchymal","C3_Immune"
"GSM4213422",-0.889523168541477,1.17562879766827,0.861499002590143
"GSM4213423",0.258590898852254,-0.575149381717601,0.0149051296238403
"GSM4213424",-0.979820862415078,1.54856195887333,1.07377804816072
"GSM4213425",-0.981391561518239,-0.433158969853926,0.506719749601207
"GSM4213426",1.25872401575209,-0.590393201837154,-1.03337786038331
"GSM4213427",0.56134732140403,2.04108838590686,-0.776832794961148
"GSM4213428",0.875803491918068,-0.363071691904341,-1.10258733384344
"GSM4213429",-0.124064635876814,-0.252688725166326,0.6654713506309
"GSM4213430",-1.7414487138337,-1.05910992111798,1.6370650559371
"GSM4213431",0.517668587754001,-1.05776980091888,-0.143942154095129
"GSM4213432",0.714853357822532,-1.46612869225698,0.0281057973149706
"GSM4213433",1.08737437430624,1.25954358406299,-0.864580475301284
"GSM4213434",0.353649981971298,0.264477210882536,-0.981075974131357
"GSM4213435",-0.777314486049021,1.44089167748859,0.522804764269016
"GSM4213436",0.0946004285806124,0.615377682099461,-0.118731868043397
"GSM4213437",-1.32615224325128,-1.46313714638513,0.928166270029046
"GSM4213438",0.167710699446953,1.02746694117132,0.796949691537931
"GSM4213439",-0.0643475140093455,-1.07542664527553,0.136389061895925
"GSM4213440",-0.371841615605868,1.04180480691687,0.679392074576368
"GSM4213441",0.494518678877337,-2.03263945696043,-0.352163798879799
"GSM4213442",0.907635292117797,0.612200580682754,-0.76663201530691
"GSM4213443",-0.216324928959093,-1.71060637223064,0.304301251468855
"GSM4213444",0.219498119018587,1.43832877174864,-0.0529598116971932
"GSM4213445",-0.438510148171148,0.880476380708196,0.908508016621658
"GSM4213446",-0.693754700329042,0.479495307891556,0.87516843103174
"GSM4213447",0.553653368476059,-1.00321071924728,-0.330710105475158
"GSM4213448",0.148745156319007,-1.38954679339599,0.588460968311774
"GSM4213449",-1.44113296909972,0.0177216949660066,1.41331238291767
"GSM4213450",-0.49616180046824,0.759239334062675,0.596235208650129
"GSM4213451",-0.414004997739371,0.291906788892575,0.0440120660486328
"GSM4213452",-0.476173042814224,-1.38017852984281,0.860424523228028
"GSM4213453",0.196496835342661,0.679864830801001,-0.0625842891216117
"GSM4213454",-1.63000737898619,-0.327841950762434,1.47102554923917
"GSM4213455",0.129579187469784,0.348966957777697,-0.292221242730505
"GSM4213456",-1.14691185850096,1.18440618746948,1.36089131865625
"GSM4213457",-0.231404628591197,0.449113769209568,0.243496521228155
"GSM4213467",1.86449714797575,0.0584917909890607,-1.75567719265039
"GSM4213468",1.19844968553672,0.8756100044212,-1.10612363794717
"GSM4213469",1.28691738910521,-0.493555978362886,-1.25142227200101
"GSM4213470",0.640616209270411,-1.57644557858301,-0.127139590057533
"GSM4213471",1.11683324337024,-0.571920732579933,-1.24315759804803
"GSM4213472",1.33196980484315,-0.160001304491254,-1.17695063548865
"GSM4213473",0.100244815270816,-0.0686275102891245,0.0311875488966692
"GSM4213474",0.838665350384953,0.705550124588831,-0.734015812596903
"GSM4213475",1.59990498161435,-0.830052326923617,-1.67192731206112
"GSM4213476",1.33116525750617,-1.47286639940575,-1.67219122893617
"GSM4213477",-3.11977390043675,-0.822530344748679,2.19790520192931
"GSM4213478",1.48837246206493,0.456826059015463,-1.06001750190211
"GSM4213479",1.39952877100247,-0.449360517140961,-1.33223948026257
"GSM4213480",-0.810857412375997,0.116103132819925,1.31305530885186
"GSM4213481",-1.10315739044008,0.54378439212939,0.471063063703913
"GSM4213482",-1.42565331722789,1.34143858180104,0.457936172676112
"GSM4213483",0.0593912693670208,-1.05533083960308,-2.19462486944484
"GSM4213484",-0.690378552553774,0.943746890156648,0.786133814923659
"GSM4213486",-0.267987380540274,0.727565153452476,0.452052907442333
"GSM4213487",-0.635190372333397,-0.755135723212365,-1.28685370972459
"GSM4213488",-0.303716602073324,1.11020747555967,1.26432431309826
