"patient","source","target","pathway","interaction","eligible","expression_support_10pct","ligand_receptor_expression_product"
"SCH9","myeSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,141.779448917693
"SCH13","myeSC","C3high_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH14","myeSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,88.9777384802759
"SCH1","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,23.9620285184592
"SCH2","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,102.301117538768
"SCH3","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,79.555569605242
"SCH4","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,146.477910016607
"SCH5","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,108.935458964867
"SCH6","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,80.0486542046815
"SCH7","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,84.3466518410192
"SCH8","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,122.868805296336
"SCH9","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,87.8269233275883
"SCH13","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,54.6618793886994
"SCH14","nmSC","C3high_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,85.117980258098
"SCH1","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,19.53431406084
"SCH2","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH3","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH4","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,129.21751892143
"SCH5","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH6","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,104.006353276558
"SCH7","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH8","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH9","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,127.890358292793
"SCH13","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",FALSE,,
"SCH14","myeSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,96.9036398516699
"SCH1","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,31.2442739408371
"SCH2","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,112.50906737203
"SCH3","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,91.0559526582707
"SCH4","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,174.906790947473
"SCH5","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,117.173262982093
"SCH6","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,86.5090520480918
"SCH7","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,106.519117508155
"SCH8","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,140.244611050651
"SCH9","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,79.2231651192237
"SCH13","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,57.4982464932113
"SCH14","nmSC","C3low_Myeloid","MIF","MIF_CD74_CD44",TRUE,TRUE,92.7000645859381
