"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"C3low_Myeloid","myeSC","CXCL2","ACKR1",0.000203002679183708,0,"CXCL2_ACKR1","CXCL2 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3high_Myeloid","myeSC","CXCL3","ACKR1",0.000111122438917142,0,"CXCL3_ACKR1","CXCL3 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3low_Myeloid","myeSC","CXCL3","ACKR1",5.60503352356847e-05,0,"CXCL3_ACKR1","CXCL3 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3high_Myeloid","myeSC","CXCL8","ACKR1",0.00100408102453033,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3low_Myeloid","myeSC","CXCL8","ACKR1",0.000873209532971189,0,"CXCL8_ACKR1","CXCL8 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3high_Myeloid","myeSC","CXCL10","ACKR1",1.36594769133018e-06,0,"CXCL10_ACKR1","CXCL10 - ACKR1","CXCL","Secreted Signaling","PMID: 26740381"
"C3high_Myeloid","nmSC","CXCL12","ACKR3",0.000299829614433966,0,"CXCL12_ACKR3","CXCL12 - ACKR3","CXCL","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3high_Myeloid","MIF","CD74_CXCR4",0.181696673299725,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nmSC","C3high_Myeloid","MIF","CD74_CXCR4",0.134226036346525,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"myeSC","C3low_Myeloid","MIF","CD74_CXCR4",0.203510002486645,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"nmSC","C3low_Myeloid","MIF","CD74_CXCR4",0.151394725744566,0,"MIF_CD74_CXCR4","MIF - (CD74+CXCR4)","MIF","Secreted Signaling","PMID: 29637711; PMID: 24760155"
"myeSC","C3high_Myeloid","MIF","CD74_CD44",0.107696005101521,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"nmSC","C3high_Myeloid","MIF","CD74_CD44",0.0777226970854942,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"myeSC","C3low_Myeloid","MIF","CD74_CD44",0.120641893778266,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"nmSC","C3low_Myeloid","MIF","CD74_CD44",0.0874185496410034,0,"MIF_CD74_CD44","MIF - (CD74+CD44)","MIF","Secreted Signaling","PMID: 29637711; PMID: 26175090"
"C3high_Myeloid","nmSC","MIF","ACKR3",0.00775619132178385,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090"
"C3low_Myeloid","nmSC","MIF","ACKR3",0.00763661948842494,0,"MIF_ACKR3","MIF - ACKR3","MIF","Secreted Signaling","PMID: 26175090"
"C3high_Myeloid","myeSC","OSM","LIFR_IL6ST",0.0049125228723958,0,"OSM_LIFR_IL6ST","OSM - (LIFR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","myeSC","OSM","LIFR_IL6ST",0.00447208540275941,0,"OSM_LIFR_IL6ST","OSM - (LIFR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","nmSC","OSM","LIFR_IL6ST",0.0051058798190411,0,"OSM_LIFR_IL6ST","OSM - (LIFR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","nmSC","OSM","LIFR_IL6ST",0.00464818770347189,0,"OSM_LIFR_IL6ST","OSM - (LIFR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"C3high_Myeloid","nmSC","OSM","OSMR_IL6ST",0.00417841483270108,0,"OSM_OSMR_IL6ST","OSM - (OSMR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"C3low_Myeloid","nmSC","OSM","OSMR_IL6ST",0.0038035430265773,0,"OSM_OSMR_IL6ST","OSM - (OSMR+IL6ST)","OSM","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3low_Myeloid","IL1B","IL1R2",0.000318585537470483,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"nmSC","C3low_Myeloid","IL1B","IL1R2",0.000736341677703612,0,"IL1B_IL1R2","IL1B - IL1R2","IL1","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3high_Myeloid","IL34","CSF1R",0.0404387515705733,0,"IL34_CSF1R","IL34 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"nmSC","C3high_Myeloid","IL34","CSF1R",0.0327818179933593,0,"IL34_CSF1R","IL34 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
"myeSC","C3low_Myeloid","IL34","CSF1R",0.0285030746083483,0,"IL34_CSF1R","IL34 - CSF1R","CSF","Secreted Signaling","KEGG: hsa04060"
