"SampleID","C1_Proliferative","C2_Mesenchymal","C3_Immune"
"GSM973630",0.217588668191264,-0.051048240710502,0.310565892685012
"GSM973631",0.0944213237639606,-0.0612040157602343,0.498093357499881
"GSM973632",0.256156170112372,0.092352977249023,0.278525055607664
"GSM973633",0.175566530162521,-0.0330278536415315,0.179721981002737
"GSM973634",0.133290894261407,-0.174876103825347,0.279567200342542
"GSM973635",0.202712783911373,-0.328921851618152,0.366010645195691
"GSM973636",0.436215351610928,0.146822344934835,0.0742515170224729
"GSM973637",0.275712022343619,-0.265574136362604,0.224148965445161
"GSM973638",0.332304696690882,0.326125971437269,0.0579603716499139
"GSM973639",0.2750397212615,-0.155887620982782,0.236581344927549
"GSM973640",0.385948654408381,0.0898328168806566,0.0814146702041312
"GSM973641",0.179681516096399,0.298697896096582,0.279655312943463
"GSM973642",-0.0403026900632404,0.149585509591371,0.611580242754463
"GSM973643",0.399430648653758,-0.0601572325907271,0.166760961145632
"GSM973644",0.0853673550868526,-0.0292062224043076,0.479759893985388
"GSM973645",0.297375026837225,-0.118110943237498,0.250100455681434
"GSM973646",0.0816359838714976,0.175837067042453,0.351627286998086
"GSM973647",0.260189696849003,0.0594784962478361,0.381024247461686
"GSM973648",0.188735857199218,-0.00173159462142641,0.481732477004688
"GSM973649",0.00207941485849491,-0.0311104969814968,0.564777073136881
"GSM973650",0.285594982984538,-0.179756857918081,0.24967745692227
"GSM973651",0.343212366634724,0.223707511955,0.242809037858221
"GSM973652",0.104007653733382,0.131915821115806,0.289105109158273
"GSM973653",0.14708720090016,-0.0800774606073483,0.304801723797869
"GSM973654",-0.0187610920942946,-0.224531426847364,0.671078148381848
"GSM973655",0.31324813466015,-0.30197313228834,0.24659080147165
"GSM973656",0.436778319111558,-0.0119055358698696,-0.0208500607843812
"GSM973657",0.0999961780979127,0.222287491700917,0.386370114777507
"GSM973658",0.129336344082184,0.00254179627022438,0.387206189175098
"GSM973659",0.263662338448935,0.129360134331418,0.304684977526105
"GSM973660",0.212515737644306,-0.196413182207838,0.255296153487751
