"term","beta","SE_HC3","t","p"
"(Intercept)",4.60292610180567,4.1427601880081,1.11107713044303,0.274565117984877
"SubtypeC2",-1.79141794055075,1.8203295217233,-0.984117391479112,0.33221852082524
"SubtypeC3",4.83414633014436,2.0351225611171,2.37535882236539,0.0234958507846706
"Age",0.0808730585228437,0.0699266795378678,1.15654080899191,0.255764081775283
"size_cm",2.11845095315152,0.876600025909548,2.41666768256532,0.0213546025913345
