"variant","spearman_with_original","kendall_with_original","C1_mean","C2_mean","C3_mean","subtype_KW_p"
"original",1,1,0.130992876027556,0.467320367452782,0.817926830357803,1.1619462463417e-07
"anchor_genes_excluded",0.999890506952809,0.998567335243553,0.134084331358989,0.465965951296983,0.81583440025455,1.1619462463417e-07
"composition_residualized",0.364094152130717,0.257327253549315,0.339752403984914,0.532746941396038,0.526520640776389,0.0969300007453781
