"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","description"
"GO:0070266",0.479028697571744,0.81970975685562,0.086794975677172,0.302064368650873,1.00810339211466,24,"RBCK1;PARP1;ITPK1;PPIF;MLKL;SLC25A4;ARHGEF2;TLR3;YBX3","necroptotic process"
"GO:0070293",0.668845315904139,0.932422713050107,0.0686325631836726,0.300908308906954,0.865116114424532,16,"HBB;GSN;CLDN4;MAGED2;AQP1;HYAL2","renal absorption"
"GO:0070296",0.990757855822551,1,0.0425023180036553,-0.17171363185992,-0.541686206857895,23,"PLN;ATP1A2;DMD;SLC8A1;ANK2;NOL3;CCL3;AKAP6","sarcoplasmic reticulum calcium ion transport"
"GO:0070301",0.0296168232329482,0.184171916880407,0.352487857583619,0.343813769706231,1.42037403476795,58,"SPHK1;OSER1;CAT;PDE8A;STK25;PINK1;AXL;SIRPA;NQO1;MAP1LC3A;PPIF;ZNF580;RHOB;BECN1;RACK1;KLF2;PDCD10;NET1;BNIP3","cellular response to hydrogen peroxide"
"GO:0070302",0.835772357723577,0.996764909685291,0.0444181153081573,-0.188364000639889,-0.84423095634157,129,"NAIP;CAV3;PRKN;TNIK;TGFB2;IGF1R;SEMA4C;PTPN22;DLG1;NBR1;BIRC7;RELL1;ULK4;XIAP;MAPK8IP1;TLR4;SFRP1;DUSP16;IL1A;RASSF2;STK39;MAGI3;HGF;SH3RF1;MDFIC;TNF;RB1CC1;MFHAS1;SASH1;STK3;PLCB1;SCIMP;MYC;TRAF1;MAP3K5;TAOK3;DUSP10;GADD45A;ANKRD6","regulation of stress-activated protein kinase signaling cascade"
"GO:0070303",0.711943793911007,0.949926413269014,0.069119845655101,0.234327580527615,0.85216343626857,33,"PRMT1;PINK1;SIRPA;IGBP1;TREM2;MECOM;DNAJA1;NCOR1;PAFAH1B1;PER1;PDCD4;GPS2;CYLD","negative regulation of stress-activated protein kinase signaling cascade"
"GO:0070304",0.604878048780488,0.898850638075025,0.0795564677235957,0.214278430496646,0.933938559735267,80,"TRAF4;ZNF622;SPHK1;PRMT1;CCL19;SPI1;STK25;MAP3K11;PTK2B;RIPK2;HRAS;NCF1;HAND2;ZC3H12A;LTBR;CD27;VEGFA;TLR3;PDCD10","positive regulation of stress-activated protein kinase signaling cascade"
"GO:0070306",0.197053406998158,0.540766656525707,0.132147260608774,-0.386285305086198,-1.20422680193721,22,"MAF;SLC7A11;SPRED2;SPRED1;FRS2;EPHA2;NF2;PROX1","lens fiber cell differentiation"
"GO:0070316",0.387445887445887,0.757646836281093,0.0978773277424561,0.328289603184429,1.04435459339811,21,"SMARCD3;SMARCB1;RRM1;ACTB;BCL7B;SMARCA2","regulation of G0 to G1 transition"
"GO:0070371",0.92156862745098,1,0.0652353056017703,0.163298886965728,0.814021704051429,181,"LGALS9;CCL19;RAP1B;MAP2K2;GNAI2;PTPN6;HAVCR2;MAPK3;PDE8A;TGFB1;CSF1R;CTSH;EMILIN1;ITGAV;SIRPA;PDGFRB;GBP1;MARCO;PHB2;PTK2B;TREM2;RIPK2;PTPN2;BMPER;RAMP3;HRAS;PIN1","ERK1 and ERK2 cascade"
"GO:0070372",0.986003110419907,1,0.0347156757446657,-0.154725293760302,-0.715149611807269,167,"CALCR;CCL7;OPRM1;TPBG;CCL8;PTPN22;DLG1;PDGFB;CCL2;HLA-DRB1;MT3;ERRFI1;TLR4;SPRED2;DUSP6;IL1A;CXCL17;ERBB4;SPRY4;C5AR2;CNKSR3;CD36;SYNJ2BP;SPRED1;CFLAR;TNF;GCNT2;SEMA6A;TIMP3;MFHAS1;CD44;FRS2;FGF1;CCL4;PRKCA;SCIMP;PDGFC;ZDHHC17;EPHA2;SMAD4;DUSP10;ERBB2;NOTCH2;CCR1;NOTCH1;IL1B;CCL3;NEK10","regulation of ERK1 and ERK2 cascade"
"GO:0070373",0.442680776014109,0.795566588931518,0.0789209638180035,-0.275165985497401,-1.00740544380146,41,"DLG1;ERRFI1;TLR4;SPRED2;DUSP6;SPRY4;CNKSR3;SYNJ2BP;SPRED1;SEMA6A;TIMP3","negative regulation of ERK1 and ERK2 cascade"
