"logFC","logCPM","F","PValue","FDR","gene","defining_C3_gene","FDR_nondefining"
1.38695613820883,8.01723076254098,668.714553792619,1.33247943904152e-14,1.07997458534315e-10,"CFD",TRUE,
0.991341909313108,5.53896026221858,473.781450820398,2.01648870157215e-13,8.17182046312115e-10,"GAS6",FALSE,1.62408000024621e-09
1.17540662459086,6.18197877054124,413.88716423694,5.80914299951880e-13,1.54848045203647e-09,"PLD3",FALSE,2.05164903322258e-09
0.928498146349308,8.39022583282367,399.598654892855,7.64209970159888e-13,1.54848045203647e-09,"CD68",FALSE,2.05164903322258e-09
2.74192753965453,5.03959300163684,523.347127580489,1.40413629466456e-12,2.27610493365125e-09,"FOLR2",TRUE,
1.6644553623771,9.23812128135029,450.581039999053,3.21414829022292e-12,4.34177864870947e-09,"CTSD",FALSE,5.67733053421464e-09
1.18572897055648,4.36217517365662,321.82098132917,4.10625492466452e-12,4.49905080768155e-09,"TSPAN4",FALSE,5.67733053421464e-09
1.32540386810903,5.24059929213127,318.577129338485,4.44076575711936e-12,4.49905080768155e-09,"FUCA1",FALSE,5.67733053421464e-09
-2.48527949056512,2.86596082968896,312.57316971466,5.14388055610561e-12,4.57062468138164e-09,"GPR157",FALSE,5.67733053421464e-09
0.863811693316862,5.07485743702276,308.872336704268,5.63926549214268e-12,4.57062468138164e-09,"DSC2",FALSE,5.67733053421464e-09
-1.70393035536072,5.46250531706479,398.150387684487,6.6247093688389e-12,4.88120631222175e-09,"RUNX3",FALSE,5.92837880629205e-09
1.96201355197874,4.36168008800126,313.62662383209,7.45002362221294e-12,5.03187012150299e-09,"C2",FALSE,6.0002490253303e-09
-1.11077003199968,5.68253539951634,296.020974108235,8.9611940672294e-12,5.58695983960725e-09,"PDE4A",FALSE,6.56122336522414e-09
-1.88145799241018,2.54652668203938,284.459552904571,1.06327089395884e-11,6.15557899681174e-09,"CACNA2D3",FALSE,7.13631981662044e-09
-4.18788915077284,2.5478583612269,348.537272149415,1.3320576426302e-11,7.19755146234519e-09,"CD1C",FALSE,8.25260942595665e-09
1.37715474222829,3.88702043757145,266.417745390932,1.7579749043631e-11,8.56551112753438e-09,"ACP2",FALSE,9.36277474192203e-09
0.773678876648015,13.6508716805216,262.417310780064,1.97389887120988e-11,8.56551112753438e-09,"FTL",FALSE,9.36277474192203e-09
-4.77164905507957,0.460069071441896,259.083039594679,2.17678763260694e-11,8.56551112753438e-09,"CLNK",FALSE,9.36277474192203e-09
-0.847112224821494,9.33834639976439,258.719727779742,2.20027615594334e-11,8.56551112753438e-09,"CREM",FALSE,9.36277474192203e-09
0.948635906114404,7.95886584114208,259.190820116781,2.25569839355512e-11,8.56551112753438e-09,"CPM",FALSE,9.36277474192203e-09
1.05123855959739,6.51412364503624,271.705408657867,2.28147747326983e-11,8.56551112753438e-09,"GYPC",FALSE,9.36277474192203e-09
-0.941660813355145,6.45778130012802,258.907747961874,2.32499993591309e-11,8.56551112753438e-09,"MALT1",FALSE,9.36277474192203e-09
1.4348023169545,4.39902192820792,254.281128549731,2.51146385931603e-11,8.85018025206802e-09,"ABCC3",TRUE,
-0.871015389827375,5.01065517348556,252.416899719108,2.65667693152475e-11,8.97181938750338e-09,"SPN",FALSE,1.0188988574524e-08
-2.34768658015459,1.83399073940895,250.75829089168,2.79383894539493e-11,9.05762586097036e-09,"BANK1",FALSE,1.02279903937322e-08
-0.854268501029743,7.20552470982908,248.354513434331,3.00697262713799e-11,9.37365890113591e-09,"JOSD1",FALSE,1.05296337125954e-08
-1.23471185028516,7.39052518447665,300.496430472205,3.74629779107402e-11,1.11313959224067e-08,"STK17B",FALSE,1.23887149031649e-08
-3.25579373182949,0.190826887432146,240.468778603039,3.8455161730708e-11,1.11313959224067e-08,"SDK2",FALSE,1.23887149031649e-08
0.588399580218648,9.17778646235773,233.98119071855,4.73521535149361e-11,1.32341104909847e-08,"FCGRT",FALSE,1.46682401695883e-08
1.06901592727743,6.08250404715758,247.789919187624,5.75508504355478e-11,1.51417528900646e-08,"CTSA",FALSE,1.66585970347845e-08
-0.528274677465533,8.55895912666814,227.861347637992,5.79141689811233e-11,1.51417528900646e-08,"OGFRL1",FALSE,1.66585970347845e-08
